agent_id,tickets,csat_mean,csat_n,handle_med_min,handle_mean_min,transfers_mean,name,team,site,comparable_pool,rank_in_pool,flag_bottom10
A3034,342,3.4025974025974026,154,21.0,297.03801169590645,0.13450292397660818,Meera Pereira,Billing,Bengaluru,True,1,True
A3032,370,3.4096385542168677,166,22.0,214.01891891891893,0.0918918918918919,Kunal Jain,Billing,Bengaluru,True,2,True
A3035,384,3.4293478260869565,184,22.0,296.2942708333333,0.13020833333333334,Nisha Rao,Billing,Bengaluru,True,3,True
A3020,237,3.4693877551020407,98,23.0,461.0295358649789,0.10970464135021098,Riya Pillai,Email Frontline,Bengaluru,True,4,True
A3026,97,3.5,40,24.0,217.27835051546393,0.0,Suresh Pereira,Voice Frontline,Indore,True,5,True
A3017,198,3.5057471264367814,87,23.0,423.87373737373736,0.11616161616161616,Aadhya Rao,Email Frontline,Indore,True,6,True
A3022,218,3.522222222222222,90,23.0,255.454128440367,0.0871559633027523,Manpreet Yadav,Email Frontline,Bengaluru,True,7,True
A3008,217,3.5555555555555554,99,23.0,170.69124423963135,0.06912442396313365,Isha George,Chat Frontline,Bengaluru,True,8,True
A3024,464,3.563451776649746,197,21.0,227.89224137931035,0.034482758620689655,Suresh Sethi,Voice Frontline,Bengaluru,True,9,True
A3016,209,3.576923076923077,104,21.0,181.11004784688996,0.12440191387559808,Om Khanna,Email Frontline,Indore,True,10,True
A3033,311,3.6043165467625897,139,21.0,192.7942122186495,0.1157556270096463,Thomas Reddy,Billing,Bengaluru,True,11,False
A3001,203,3.6373626373626373,91,20.0,228.76847290640393,0.07389162561576355,Reyansh Bhatt,Chat Frontline,Indore,True,12,False
A3021,242,3.638888888888889,108,24.0,590.4834710743802,0.1115702479338843,Geeta Sen,Email Frontline,Indore,True,13,False
A3015,193,3.640449438202247,89,21.0,515.699481865285,0.05699481865284974,Ishaan Dutta,Chat Frontline,Indore,True,14,False
A3002,180,3.6463414634146343,82,22.5,136.50555555555556,0.05555555555555555,Megha Sheikh,Chat Frontline,Indore,True,15,False
A3011,231,3.6464646464646466,99,22.0,259.6709956709957,0.06060606060606061,Divya Jadhav,Chat Frontline,Bengaluru,True,16,False
A3009,203,3.658536585365854,82,23.0,208.89162561576356,0.09852216748768473,Vihaan Menon,Chat Frontline,Bengaluru,True,17,False
A3023,92,3.6666666666666665,42,20.0,68.77173913043478,0.03260869565217391,Meera Patel,Voice Frontline,Indore,True,18,False
A3019,249,3.669491525423729,118,22.0,424.421686746988,0.10040160642570281,Sai Joshi,Email Frontline,Bengaluru,True,19,False
A3025,111,3.6875,48,24.0,218.8918918918919,0.02702702702702703,Ananya Das,Voice Frontline,Indore,True,20,False
A3014,183,3.688311688311688,77,20.0,352.1530054644809,0.03825136612021858,Bhavna Joshi,Chat Frontline,Indore,True,21,False
A3010,230,3.7,100,19.0,154.9,0.05652173913043478,Aarav Pereira,Chat Frontline,Indore,True,22,False
A3012,200,3.7160493827160495,81,23.0,253.815,0.04,Steven Ghosh,Chat Frontline,Indore,True,23,False
A3003,184,3.7222222222222223,72,23.0,509.8695652173913,0.07065217391304347,Deepak Saxena,Chat Frontline,Indore,True,24,False
A3013,197,3.7252747252747254,91,22.0,228.04060913705584,0.07614213197969544,Sukhwinder Rao,Chat Frontline,Indore,True,25,False
A3018,239,3.8160919540229883,87,22.0,475.5313807531381,0.09205020920502092,Kunal Pillai,Email Frontline,Bengaluru,True,26,False
